"species","detections_12S160","detections_MiFishU","total_reads_12S160","total_reads_MiFishU","proportion_12S160","proportion_MiFishU"
"Boreogadus saida",3,3,3672113,10836,76.6673807036312,0.0290339880931711
"Delphinapterus leucas",1,0,105,0,0.00219221875086123,0
"Microcottus sellaris",3,0,24296,0,0.507258540675471,0
"Monodon monoceros",3,3,209833,37305488,4.3809508299949,99.9563579182298
"Myoxocephalus quadricornis",1,0,2002,0,0.0417983041830874,0
"Phocoena phocoena",1,1,12,259,0.000250539285812712,0.000693964831684323
"Pusa hispida",1,2,588,20,0.0122764250048229,5.35880178906813e-05
"Rangifer tarandus",1,1,878919,327,18.3503115456019,0.000876164092512639
"Sagmatias obliquidens",3,1,1471,9,0.0307119407858749,2.41146080508066e-05
"Salvethymus svetovidovi",1,0,329,0,0.00686895208603185,0
"Cephalorhynchus heavisidii",0,3,0,4837,0,0.0129602621268613
